Ticker,variance_contribution,absolute_share_of_portfolio_variance
NOC,10088319.165814359,8.531403579165766e-05
ABNB,9983124.759448975,8.442443672146268e-05
KEY,-9969323.763966719,8.430772564172965e-05
CI,9941734.942902783,8.407441485635381e-05
SPG,-9762595.528449798,8.25594839580405e-05
AIZ,9747022.172333308,8.242778453028838e-05
RF,-9652571.098524343,8.162903875717644e-05
AFL,9565811.269614488,8.089533564695213e-05
RMD,-9424778.184586536,7.970265910033224e-05
PFG,9301864.331178544,7.866321172395719e-05
DLTR,-8905087.42742345,7.5307782696397e-05
TMUS,-8191059.404467474,6.926945150311588e-05
AOS,-8095317.511033263,6.845978963685711e-05
NI,8077494.688228941,6.830906711136556e-05
DD,8018571.827414536,6.781077329513684e-05
HBAN,-7955969.290348885,6.728136150709926e-05
BAC,7582176.323163318,6.412030107106526e-05
NEE,-7351547.673442439,6.216994040607528e-05
KDP,-7200696.021464525,6.0894231041160924e-05
INCY,7136104.810866648,6.034800160866567e-05
AEP,7111496.120635785,6.0139892939160447e-05
GL,-7006845.297707141,5.925489079894118e-05
BBY,6916893.971563538,5.8494198107523644e-05
ISRG,6895970.283796611,5.831725245208779e-05
CINF,6691178.478934074,5.65853866097495e-05
CHD,6567533.934669066,5.553975998934939e-05
EXR,6551314.448181592,5.540259642146747e-05
PSA,6497778.398247885,5.494985732736095e-05
LMT,6317852.242323104,5.3428273180971284e-05
AMGN,-6297706.039413016,5.325790249306111e-05
LVS,-6171527.977191152,5.2190850634412944e-05
MDLZ,6054994.0135645345,5.120535616497994e-05
DVA,-5950127.725146748,5.031853189461685e-05
FFIV,-5926326.594705493,5.011725252775978e-05
OTIS,5739428.218566116,4.85367063050164e-05
GOOGL,5458034.951273746,4.6157043758388906e-05
ZBH,5376571.416876029,4.546812989919295e-05
ABBV,5299415.114590522,4.481564107260591e-05
O,5277279.5896751555,4.462844725628653e-05
JKHY,-5159118.986399548,4.362919675961519e-05
ZTS,5149767.894555853,4.355011724486832e-05
HPQ,4698419.752764577,3.97331948328809e-05
EBAY,4616830.820791375,3.904322052217986e-05
TJX,4609627.287256018,3.8982302295093594e-05
NTRS,-4494991.777842528,3.801286251108693e-05
HSIC,4452259.607782822,3.765148874544688e-05
MET,-4425719.04440826,3.7427042776157866e-05
WAT,-4222842.562524226,3.571137427358002e-05
ORLY,4156727.033943462,3.5152254118972154e-05
TT,4137362.9015149223,3.498849717790699e-05
VZ,3786055.5750829303,3.201759138790652e-05
EXC,3680949.9293425125,3.112874294098296e-05
PNC,3516471.592656433,2.9737796592800512e-05
MSFT,3473561.7287795465,2.937492012126569e-05
WY,-3458751.065315849,2.9249670567591594e-05
CASY,3359219.4361174526,2.840795998763607e-05
SRE,3303766.5908438712,2.7939011102429216e-05
NDSN,3288975.8379585794,2.781392992683385e-05
APTV,-3239239.9467696124,2.7393327690595718e-05
T,3238277.4333152245,2.7385187989031175e-05
XYL,-3231320.8944611032,2.7326358525467245e-05
MLM,3136574.073393759,2.6525111702202935e-05
DHI,2875419.332203256,2.4316600594367742e-05
JCI,2824431.9023351017,2.3885414452732105e-05
UHS,2787164.282212111,2.3570252826222834e-05
STE,2726789.4725312134,2.3059680292843353e-05
PSKY,2688265.501594969,2.2733894066092246e-05
COO,2670033.3756861505,2.2579710181068682e-05
ACGL,-2658570.03939819,2.2482768017930454e-05
DPZ,2468588.253012129,2.0876146274793416e-05
MAS,2397156.5361733907,2.0272068633426706e-05
MDT,-2385501.326196403,2.017350384926469e-05
MCHP,2302158.8676815513,1.9468700465089957e-05
APD,-2301612.2338946853,1.9464077739173865e-05
RVTY,2292450.9005495915,1.9386602957889073e-05
PKG,2026969.1971072687,1.7141499965285624e-05
KO,2024206.7939947746,1.7118139110604408e-05
AVY,-1993840.4590077524,1.6861339682735082e-05
EVRG,1915464.8789099464,1.6198539771693965e-05
TSCO,1864445.3920342196,1.5767082533094952e-05
STT,-1831491.4584429218,1.548840052237796e-05
GOOG,1612315.3487894936,1.3634890719970809e-05
CPAY,-1571290.9580721182,1.3287959156796918e-05
FOX,1462064.6951126573,1.2364263826152584e-05
CTVA,-1421933.1076612677,1.2024882445376503e-05
ABT,-1280203.58917612,1.0826316359784162e-05
MSCI,1260829.0468152731,1.0662471384892663e-05
BKNG,1208275.111960647,1.0218037757696046e-05
CARR,1184876.8254433072,1.0020165126924393e-05
ORCL,1101733.010125987,9.317041611574723e-06
PG,-1096518.0710635125,9.272940360363828e-06
ETN,906764.5011873042,7.668248579113384e-06
SNPS,884822.5630385499,7.4826918708259875e-06
EL,-790092.2893176437,6.681584983747586e-06
