!ModelVer:100
!ReleaseDateTime:20160301 19:05:37
!Model|ModelVer|Factor|FactorDisplayName|FactorGroup|FactorNum|StartDate|EndDate
GEM3L|100|GEM3L_KENC|GEM Kenya|4-Currencies|187|20030131|20751231
GEM3L|100|GEM3L_LBNC|GEM Lebanon|4-Currencies|188|20030131|20751231
GEM3L|100|GEM3L_MUSC|GEM Mauritius|4-Currencies|189|20030131|20751231
GEM3L|100|GEM3L_TUNC|GEM Tunisia|4-Currencies|190|20050131|20751231
GEM3L|100|GEM3L_BGRC|GEM Bulgaria|4-Currencies|191|20060131|20751231
GEM3L|100|GEM3L_KAZC|GEM Kazakhstan|4-Currencies|192|20060731|20751231
GEM3L|100|GEM3L_UKRC|GEM Ukraine|4-Currencies|193|20061229|20751231
GEM3L|100|GEM3L_VNMC|GEM Vietnam|4-Currencies|194|20070731|20751231
GEM3L|100|GEM3L_SRBC|GEM Serbia|4-Currencies|195|20091030|20751231
GEM3L|100|GEM3L_JAMC|GEM Jamaica|4-Currencies|196|20090529|20751231
GEM3L|100|GEM3L_BGDC|GEM Bangladesh|4-Currencies|197|20100531|20751231
GEM3L|100|GEM3L_BIHC|GEM Bosnia and Herzegovina|4-Currencies|198|20110429|20751231
GEM3L|100|GEM3L_EMUC|GEM Euro|4-Currencies|199|19980930|20751231
GEM3L|100|GEM3L_WORLD|GEM World Equity|5-Market|200|19961231|20751231
[End of File]
