,Ticker,one_year,avg_drawdown,yearly_vol
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,ADBE,TXN,CHTR",0.270801533,-0.015490906,0.083338313
Equal-weighted,"MSFT,GOOG,PEP,ADBE,COST,AMGN,TXN",0.221524454,-0.015491485,0.080367833
Equal-weighted,"MSFT,PEP,PYPL,COST,AMGN,TXN,CHTR",0.282739931,-0.015493319,0.110504083
Equal-weighted,"MSFT,CSCO,CMCSA,PEP,ADBE,COST,AMGN",0.187687539,-0.01550492,0.080268504
Equal-weighted,"MSFT,GOOG,CSCO,ADBE,COST,TXN,CHTR",0.246430006,-0.015507601,0.088708901
Equal-weighted,"MSFT,GOOG,CSCO,CMCSA,PEP,COST,AMGN",0.208202794,-0.015512139,0.065941421
Equal-weighted,"MSFT,AAPL,CMCSA,PEP,COST,AVGO,CHTR",0.303766255,-0.015518434,0.107890049
Equal-weighted,"MSFT,GOOG,ADBE,COST,AMGN,AVGO,CHTR",0.277857757,-0.015519665,0.093021249
Equal-weighted,"MSFT,AAPL,GOOG,PEP,ADBE,PYPL,CHTR",0.346626819,-0.015521499,0.130223058
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,ADBE,COST,AVGO",0.278643918,-0.015524457,0.08080894
Equal-weighted,"MSFT,CMCSA,PEP,PYPL,COST,AVGO,CHTR",0.339859395,-0.015526291,0.11094519
Equal-weighted,"MSFT,AAPL,GOOG,CMCSA,ADBE,COST,AMGN",0.256689647,-0.015533139,0.09958016
Equal-weighted,"MSFT,AAPL,CMCSA,PYPL,COST,AMGN,CHTR",0.317905124,-0.015534973,0.12971641
Equal-weighted,"MSFT,AAPL,AMZN,CMCSA,PEP,COST,CHTR",0.255040101,-0.015536922,0.120818588
Equal-weighted,"MSFT,AAPL,CMCSA,PEP,ADBE,AMGN,CHTR",0.256063137,-0.015537493,0.108546268
Equal-weighted,"MSFT,AMZN,GOOG,ADBE,COST,AMGN,CHTR",0.229131603,-0.015538153,0.105949788
Equal-weighted,"MSFT,GOOG,CMCSA,ADBE,PYPL,COST,AMGN",0.292782788,-0.015540996,0.102635301
Equal-weighted,"MSFT,AMZN,GOOG,CMCSA,PEP,ADBE,COST",0.229917764,-0.015542945,0.093737479
Equal-weighted,"MSFT,AAPL,GOOG,CMCSA,PEP,AMGN,CHTR",0.276578392,-0.015544712,0.094219186
Equal-weighted,"MSFT,AMZN,CMCSA,PEP,PYPL,COST,CHTR",0.291133241,-0.015544779,0.123873729
Equal-weighted,"MSFT,CMCSA,PEP,ADBE,PYPL,AMGN,CHTR",0.292156278,-0.015545351,0.111601409
Equal-weighted,"MSFT,CSCO,PEP,ADBE,COST,AVGO,CHTR",0.25364588,-0.015545506,0.095145637
