,Ticker,one_year,avg_drawdown,yearly_vol
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,GOOG,BEN",0.551396209,-0.046315843,0.351518479
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,GOOG,ALXN",0.573558055,-0.044734143,0.359008359
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,GOOG,AMGN",0.548401583,-0.040003342,0.351594681
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,GOOG,ETN",0.55578323,-0.039310236,0.35534436
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,FSLR,SEDG",0.690060293,-0.048485093,0.440362042
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,FSLR,AXP",0.571405835,-0.043841172,0.379858345
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,FSLR,BEN",0.579428253,-0.050481998,0.37817408
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,FSLR,ALXN",0.601590099,-0.048900298,0.38566396
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,FSLR,AMGN",0.576433627,-0.044169498,0.378250282
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,FSLR,ETN",0.583815274,-0.043476391,0.381999962
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,SEDG,AXP",0.639702909,-0.044444516,0.414404773
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,SEDG,BEN",0.647725327,-0.051383387,0.412720507
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,SEDG,ALXN",0.669887174,-0.049721826,0.420210388
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,SEDG,AMGN",0.644730701,-0.045145225,0.41279671
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,SEDG,ETN",0.652112349,-0.044265754,0.416546389
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,AXP,BEN",0.529070869,-0.046986066,0.35221681
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,AXP,ALXN",0.551232715,-0.045404366,0.359706691
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,AXP,AMGN",0.526076243,-0.040673565,0.352293013
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,AXP,ETN",0.53345789,-0.039980458,0.356042692
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,BEN,ALXN",0.559255134,-0.052045192,0.358022425
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,BEN,AMGN",0.534098661,-0.047314391,0.350608747
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,BEN,ETN",0.541480309,-0.046621284,0.354358426
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,ALXN,AMGN",0.556260508,-0.045732691,0.358098628
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,ALXN,ETN",0.563642155,-0.045039584,0.361848307
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FB,AMGN,ETN",0.538485683,-0.040308784,0.354434629
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,FSLR,SEDG",0.696330145,-0.047976332,0.431086358
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,FSLR,AXP",0.577675687,-0.043303469,0.370582661
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,FSLR,BEN",0.585698105,-0.049944295,0.368898396
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,FSLR,ALXN",0.607859952,-0.048362595,0.376388276
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,FSLR,AMGN",0.582703479,-0.043631795,0.368974598
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,FSLR,ETN",0.590085127,-0.042938688,0.372724278
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,SEDG,AXP",0.645972762,-0.043935755,0.405129089
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,SEDG,BEN",0.65399518,-0.050874626,0.403444823
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,SEDG,ALXN",0.676157026,-0.049213064,0.410934704
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,SEDG,AMGN",0.651000554,-0.044636464,0.403521026
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,SEDG,ETN",0.658382201,-0.043756992,0.407270705
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,AXP,BEN",0.535340721,-0.046448362,0.342941126
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,AXP,ALXN",0.557502568,-0.044866662,0.350431007
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,AXP,AMGN",0.532346095,-0.040135862,0.343017329
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,AXP,ETN",0.539727743,-0.039442755,0.346767008
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,BEN,ALXN",0.565524986,-0.051507489,0.348746741
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,BEN,AMGN",0.540368514,-0.046776688,0.341333063
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,BEN,ETN",0.547750161,-0.046083581,0.345082742
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,ALXN,AMGN",0.56253036,-0.045194988,0.348822944
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,ALXN,ETN",0.569912008,-0.044501881,0.352572623
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,GOOG,AMGN,ETN",0.544755535,-0.039771081,0.345158945
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FSLR,SEDG,AXP",0.674004806,-0.048291438,0.43178469
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FSLR,SEDG,BEN",0.682027224,-0.055230309,0.430100424
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FSLR,SEDG,ALXN",0.70418907,-0.053568747,0.437590305
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FSLR,SEDG,AMGN",0.679032598,-0.048992147,0.430176627
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FSLR,SEDG,ETN",0.686414245,-0.048112676,0.433926306
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FSLR,AXP,BEN",0.563372766,-0.050614518,0.369596727
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FSLR,AXP,ALXN",0.585534612,-0.049032818,0.377086608
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FSLR,AXP,AMGN",0.56037814,-0.044302017,0.36967293
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FSLR,AXP,ETN",0.567759787,-0.04360891,0.373422609
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FSLR,BEN,ALXN",0.59355703,-0.055673644,0.375402342
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FSLR,BEN,AMGN",0.568400558,-0.050942843,0.367988664
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FSLR,BEN,ETN",0.575782205,-0.050249737,0.371738344
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FSLR,ALXN,AMGN",0.590562404,-0.049361143,0.375478545
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FSLR,ALXN,ETN",0.597944052,-0.048668037,0.379228224
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,FSLR,AMGN,ETN",0.572787579,-0.043937236,0.371814546
