,Ticker,one_year,avg_drawdown,yearly_vol,Ticker total
Equal-weighted,"NVDA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.362681122,-0.041837459,0.233437283,21
Equal-weighted,"NVDA,BABA,BIDU,TWTR,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.345135649,-0.042469518,0.233578737,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,V,HD,MA,VZ,CRM,ADBE,DIS,CMCSA",0.337668941,-0.042975682,0.23367809,21
Equal-weighted,"NFLX,NVDA,BABA,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.340470376,-0.040761704,0.233684093,21
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.381971015,-0.04281854,0.233852947,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,HD,MA,VZ,CRM,ADBE,DIS,CMCSA",0.339331379,-0.043217996,0.233877747,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,AAPL,AMZN,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.347269375,-0.03766279,0.233956965,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.364425542,-0.043450599,0.233994401,21
Equal-weighted,"NFLX,NVDA,BABA,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,ADBE,DIS,CMCSA",0.331454787,-0.040350681,0.234400851,21
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,ADBE,DIS,CMCSA",0.372955426,-0.042407517,0.234569706,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,MA,VZ,CRM,ADBE,DIS,CMCSA",0.332514534,-0.043025097,0.23460248,21
Equal-weighted,"NFLX,NVDA,BABA,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.33915153,-0.040553067,0.234655568,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,ADBE,DIS,CMCSA",0.355409953,-0.043039576,0.234711159,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.357544752,-0.042142218,0.234805523,22
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.380652169,-0.042609904,0.234824423,21
Equal-weighted,"NFLX,NVDA,BABA,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.340813968,-0.040952626,0.234855225,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,BRK-B,JNJ,JPM,V,HD,MA,VZ,CRM,ADBE,DIS,CMCSA",0.328097416,-0.043153407,0.234908071,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.363106696,-0.043241963,0.234965876,21
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.382314607,-0.043009462,0.235024079,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.364769134,-0.043641521,0.235165533,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,AAPL,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.337110043,-0.037853579,0.235466395,21
Equal-weighted,"NFLX,NVDA,BABA,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.333997123,-0.040761691,0.235579958,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,VZ,CRM,ADBE,DIS",0.331673907,-0.042751649,0.235611941,21
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.375497762,-0.042818527,0.235748812,21
Equal-weighted,"NFLX,BABA,BIDU,AAPL,AMZN,FB,GOOG,SEDG,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.357111596,-0.037078149,0.235846918,21
Equal-weighted,"NFLX,NVDA,BABA,TWTR,AAPL,AMZN,FB,GOOG,FSLR,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.329580005,-0.040921425,0.235885548,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.357952289,-0.043450586,0.235890266,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.360516521,-0.042988271,0.235913721,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,AAPL,AMZN,FB,GOOG,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,DIS,CMCSA",0.345134181,-0.038226258,0.236011789,21
Equal-weighted,"NFLX,NVDA,BIDU,TWTR,AAPL,AMZN,FB,GOOG,FSLR,BRK-B,JNJ,JPM,V,HD,MA,PYPL,VZ,CRM,ADBE,DIS,CMCSA",0.371080644,-0.042978262,0.236054403,21
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,AAPL,AMZN,FB,FSLR,MSFT,BRK-B,JNJ,JPM,V,HD,MA,VZ,CRM,ADBE,DIS,CMCSA",0.324695629,-0.042888756,0.236126931,21
